"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,,
{1092; 2314; 898},walk,,{1458; 1750; 774},stop/move/stand,,{1150; 2300; 970},stop/static/stand,,{1496; 1272; 544},stop/static/seat,,,
{1298; 2338; 988},walk,,{1422; 1686; 712},stop/move/stand,,{980; 2454; 1036},stop/static/stand,,{1500; 1282; 544},stop/static/seat,,,
{1278; 2512; 1082},walk,,{1442; 1644; 696},stop/move/stand,,{890; 2382; 940},stop/static/stand,,{1504; 1272; 544},stop/static/seat,,,
{1008; 2220; 810},walk,,{1376; 2022; 854},stop/move/stand,,{896; 2396; 954},stop/static/stand,,{1506; 1264; 544},stop/static/seat,,,
{840; 2080; 646},walk,,{1344; 2092; 886},stop/move/stand,,{904; 2354; 924},stop/static/stand,,{1506; 1260; 542},stop/static/seat,,,
{1062; 2150; 816},walk,,{1292; 2020; 820},stop/move/stand,,{898; 2378; 938},stop/static/stand,,{1508; 1264; 544},stop/static/seat,,,
{1094; 2328; 954},walk,,{1366; 2060; 876},stop/move/stand,,{922; 2374; 944},stop/static/stand,,{1508; 1266; 544},stop/static/seat,,,
{1270; 2478; 1010},walk,,{1338; 2118; 902},stop/move/stand,,{946; 2372; 948},stop/static/stand,,{1508; 1272; 544},stop/static/seat,,,
{1152; 2492; 1068},walk,,{1298; 2156; 912},stop/move/stand,,{954; 2376; 956},stop/static/stand,,{1508; 1276; 546},stop/static/seat,,,
{836; 2366; 852},walk,,{1300; 2122; 894},stop/move/stand,,{958; 2366; 948},stop/static/stand,,{1508; 1266; 546},stop/static/seat,,,
{1200; 2356; 986},walk,,{1306; 2098; 878},stop/move/stand,,{958; 2346; 936},stop/static/stand,,{1508; 1260; 548},stop/static/seat,,,
{942; 2306; 878},walk,,{1330; 2124; 900},stop/move/stand,,{876; 2354; 920},stop/static/stand,,{1506; 1284; 548},stop/static/seat,,,
{980; 2222; 872},walk,,{1364; 2072; 882},stop/move/stand,,{782; 2434; 950},stop/static/stand,,{1508; 1270; 548},stop/static/seat,,,
{836; 2472; 940},walk,,{1212; 2122; 854},stop/move/stand,,{796; 2428; 948},stop/static/stand,,{1508; 1262; 544},stop/static/seat,,,
{964; 2294; 906},walk,,{1274; 2078; 850},stop/move/stand,,{762; 2460; 962},stop/static/stand,,{1506; 1274; 548},stop/static/seat,,,
{1048; 2334; 902},walk,,{1330; 2090; 884},stop/move/stand,,{770; 2506; 1002},stop/static/stand,,{1508; 1278; 548},stop/static/seat,,,
{1018; 2334; 854},walk,,{1310; 2160; 920},stop/move/stand,,{692; 2648; 1114},stop/static/stand,,{1508; 1266; 546},stop/static/seat,,,
{1172; 2306; 926},walk,,{1312; 2014; 824},stop/move/stand,,{694; 2634; 1104},stop/static/stand,,{1510; 1260; 544},stop/static/seat,,,
{1240; 2358; 1034},walk,,{1332; 1840; 806},stop/move/stand,,{764; 2460; 962},stop/static/stand,,{1510; 1264; 544},stop/static/seat,,,
{1214; 2380; 1152},walk,,{1474; 1472; 656},stop/move/stand,,{754; 2442; 948},stop/static/stand,,{1504; 1288; 550},stop/static/seat,,,
{1018; 2176; 860},walk,,{1376; 1846; 782},stop/move/stand,,{772; 2430; 944},stop/static/stand,,{1504; 1280; 550},stop/static/seat,,,
{1148; 2226; 828},walk,,{1328; 2122; 902},stop/move/stand,,{792; 2406; 928},stop/static/stand,,{1504; 1272; 546},stop/static/seat,,,
{1062; 2400; 936},walk,,{1302; 2076; 852},stop/move/stand,,{1190; 2226; 934},stop/static/stand,,{1494; 1280; 542},stop/static/seat,,,
{920; 2274; 826},walk,,{940; 2518; 1068},stop/move/stand,,{1168; 2280; 958},stop/static/stand,,{1480; 1270; 532},stop/static/seat,,,
{612; 2360; 802},walk,,{1014; 2482; 1060},stop/move/stand,,{1076; 2502; 1106},stop/static/stand,,{1498; 1272; 542},stop/static/seat,,,
{900; 2378; 862},walk,,{536; 2422; 868},stop/move/stand,,{1020; 2512; 1090},stop/static/stand,,{1502; 1266; 542},stop/static/seat,,,
{1064; 2414; 984},walk,,{1134; 2232; 922},stop/move/stand,,{1044; 2490; 1080},stop/static/stand,,{1504; 1256; 540},stop/static/seat,,,
{772; 2388; 886},walk,,{1108; 2294; 946},stop/move/stand,,{1032; 2506; 1092},stop/static/stand,,{1502; 1250; 544},stop/static/seat,,,
{1084; 2404; 970},walk,,{1046; 2312; 926},stop/move/stand,,{1052; 2494; 1088},stop/static/stand,,{1504; 1258; 540},stop/static/seat,,,
{1130; 2326; 884},walk,,{1070; 2308; 924},stop/move/stand,,{1064; 2454; 1060},stop/static/stand,,{1502; 1264; 542},stop/static/seat,,,
{1166; 2546; 1124},walk,,{1030; 2306; 920},stop/move/stand,,{1062; 2482; 1088},stop/static/stand,,{1502; 1272; 544},stop/static/seat,,,
{906; 2414; 858},walk,,{1172; 2414; 1050},stop/move/stand,,{1024; 2510; 1098},stop/static/stand,,{1502; 1266; 542},stop/static/seat,,,
{876; 2420; 934},walk,,{1088; 2118; 844},stop/move/stand,,{1012; 2540; 1112},stop/static/stand,,{1504; 1258; 542},stop/static/seat,,,
{1130; 2392; 954},walk,,{972; 2440; 996},stop/move/stand,,{1004; 2544; 1114},stop/static/stand,,{1504; 1258; 542},stop/static/seat,,,
{978; 2348; 886},walk,,{1070; 2400; 1014},stop/move/stand,,{976; 2546; 1110},stop/static/stand,,{1502; 1262; 542},stop/static/seat,,,
{748; 2476; 876},walk,,{1118; 2408; 1030},stop/move/stand,,{966; 2464; 1032},stop/static/stand,,{1500; 1278; 544},stop/static/seat,,,
