118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,117.93, DistDow,119.88, DistUp,125.46,,,,,,
, DistFront,113.89, DistDow,118.16, DistUp,125.46,,,,,,
, DistFront,118.38, DistDow,119.03, DistUp,125.07,,,,,,
, DistFront,113.54, DistDow,119.88, DistUp,194.49,,,,,,
, DistFront,113.23, DistDow,118.96, DistUp,121.99,,,,,,
, DistFront,116.38, DistDow,118.98, DistUp,125.03,,,,,,
, DistFront,118.25, DistDow,119.42, DistUp,3.76,,,,,,
, DistFront,111.92, DistDow,118.4, DistUp,3330.32,,,,,,
, DistFront,106.34, DistDow,118.81, DistUp,123.18,,,,,,
, DistFront,117.96, DistDow,118.55, DistUp,3.64,,,,,,
, DistFront,114.13, DistDow,118.59, DistUp,123.04,,,,,,
, DistFront,112.09, DistDow,118.13, DistUp,191.67,,,,,,
, DistFront,113.33, DistDow,118.52, DistUp,191.68,,,,,,
, DistFront,114.76, DistDow,118.54, DistUp,122.96,,,,,,
, DistFront,118.67, DistDow,118.89, DistUp,123.71,,,,,,
, DistFront,117.35, DistDow,118.45, DistUp,3311.38,,,,,,
, DistFront,116.28, DistDow,116.31, DistUp,122.76,,,,,,
, DistFront,118.23, DistDow,118.38, DistUp,193.32,,,,,,
, DistFront,114.76, DistDow,118.78, DistUp,122.16,,,,,,
, DistFrontMean,117.69, DistDowMean,118.32, DistUpMean,191.63,,,,,,
, DistFront,117.21, DistDow,118.74, DistUp,191.21,,,,,,
, DistFront,117.21, DistDow,118.27, DistUp,123.06,,,,,,
, DistFront,115.31, DistDow,117.82, DistUp,121.82,,,,,,
, DistFront,117.99, DistDow,118.33, DistUp,121.75,,,,,,
, DistFront,114.18, DistDow,118.33, DistUp,124.27,,,,,,
, DistFront,114.98, DistDow,117.84, DistUp,121.75,,,,,,
, DistFront,117.67, DistDow,118.23, DistUp,122.6,,,,,,
, DistFront,114.47, DistDow,117.82, DistUp,121.34,,,,,,
, DistFront,117.16, DistDow,118.25, DistUp,3.74,,,,,,
, DistFront,115.77, DistDow,118.28, DistUp,121.41,,,,,,
, DistFront,116.17, DistDow,117.41, DistUp,3333.54,,,,,,
, DistFront,106.28, DistDow,118.74, DistUp,195.37,,,,,,
, DistFront,116.48, DistDow,118.81, DistUp,190.75,,,,,,
, DistFront,117.67, DistDow,118.33, DistUp,122.7,,,,,,
, DistFront,117.7, DistDow,118.81, DistUp,121.9,,,,,,
, DistFront,115.53, DistDow,117.93, DistUp,123.91,,,,,,
, DistFront,117.7, DistDow,118.83, DistUp,3317.06,,,,,,
, DistFront,107.28, DistDow,118.89, DistUp,123.23,,,,,,
, DistFront,117.84, DistDow,119.47, DistUp,3.76,,,,,,
, DistFront,117.98, DistDow,118.59, DistUp,3328.59,,,,,,
, DistFrontMean,117.52, DistDowMean,118.59, DistUpMean,3.76,,,,,,
, DistFront,117.48, DistDow,119.03, DistUp,190.41,,,,,,
, DistFront,113.81, DistDow,117.77, DistUp,121.75,,,,,,
, DistFront,117.55, DistDow,118.62, DistUp,190.85,,,,,,
, DistFront,116.21, DistDow,119.13, DistUp,123.06,,,,,,
, DistFront,117.76, DistDow,119.59, DistUp,3.74,,,,,,
, DistFront,117.21, DistDow,118.67, DistUp,123.11,,,,,,
, DistFront,118.06, DistDow,118.27, DistUp,122.28,,,,,,
, DistFront,117.77, DistDow,119.59, DistUp,123.16,,,,,,
, DistFront,110.48, DistDow,118.74, DistUp,3370.68,,,,,,
, DistFront,107.48, DistDow,119.13, DistUp,122.7,,,,,,
, DistFront,118.49, DistDow,118.67, DistUp,3349.2,,,,,,
, DistFront,106.41, DistDow,117.82, DistUp,3330.27,,,,,,
, DistFront,107.77, DistDow,119.34, DistUp,3298.23,,,,,,
, DistFront,108.28, DistDow,117.77, DistUp,123.88,,,,,,
, DistFront,118.81, DistDow,119.42, DistUp,3.74,,,,,,
, DistFront,118.4, DistDow,118.67, DistUp,3.74,,,,,,
, DistFront,118.38, DistDow,119.9, DistUp,3.76,,,,,,
, DistFront,113.47, DistDow,119.03, DistUp,122.13,,,,,,
, DistFront,113.23, DistDow,118.59, DistUp,122.57,,,,,,
, DistFront,112.77, DistDow,119, DistUp,122.96,,,,,,
, DistFrontMean,117.87, DistDowMean,118.98, DistUpMean,123.74,,,,,,
, DistFront,117.84, DistDow,119.81, DistUp,122.84,,,,,,
, DistFront,118.83, DistDow,119.1, DistUp,3.74,,,,,,
, DistFront,114.63, DistDow,119.49, DistUp,122.18,,,,,,
, DistFront,114.59, DistDow,119.46, DistUp,3304.25,,,,,,
, DistFront,106.39, DistDow,119.3, DistUp,121.96,,,,,,
, DistFront,116.26, DistDow,118.03, DistUp,3326.85,,,,,,
, DistFront,106.45, DistDow,118.89, DistUp,121.11,,,,,,
, DistFront,115.73, DistDow,118.61, DistUp,123.62,,,,,,
, DistFront,117.48, DistDow,119.35, DistUp,121.55,,,,,,
, DistFront,114.68, DistDow,118.45, DistUp,122.28,,,,,,
, DistFront,117.38, DistDow,118.42, DistUp,122.02,,,,,,
, DistFront,112.4, DistDow,119.05, DistUp,122.47,,,,,,
, DistFront,112.82, DistDow,118.62, DistUp,194.95,,,,,,
, DistFront,115.68, DistDow,118.98, DistUp,122.52,,,,,,
, DistFront,114.47, DistDow,119.42, DistUp,123.4,,,,,,
, DistFront,113.33, DistDow,119.03, DistUp,190.73,,,,,,
, DistFront,117.96, DistDow,119.05, DistUp,191.17,,,,,,
, DistFront,114.18, DistDow,118.18, DistUp,122.6,,,,,,
, DistFront,118.03, DistDow,118.62, DistUp,191.5,,,,,,
, DistFront,114.35, DistDow,118.74, DistUp,123.52,,,,,,
, DistFrontMean,118.1, DistDowMean,119.71, DistUpMean,195.46,,,,,,
, DistFront,118.1, DistDow,118.74, DistUp,122.31,,,,,,
, DistFront,117.67, DistDow,119.34, DistUp,122.76,,,,,,
, DistFront,115.17, DistDow,118.78, DistUp,123.62,,,,,,
, DistFront,113.71, DistDow,119.68, DistUp,124.06,,,,,,
, DistFront,113.33, DistDow,118.42, DistUp,124.88,,,,,,
, DistFront,112.52, DistDow,118.38, DistUp,122.4,,,,,,
, DistFront,114.68, DistDow,117.98, DistUp,192.26,,,,,,
, DistFront,117.77, DistDow,118.42, DistUp,191.45,,,,,,
, DistFront,113.42, DistDow,119.34, DistUp,122.47,,,,,,
, DistFront,113.18, DistDow,119.78, DistUp,122.45,,,,,,
, DistFront,113.47, DistDow,118.13, DistUp,122.06,,,,,,
