AcX:,diffAcX,AcY:,diffAcY:,AcZ:,diffAcZ:,AgX:,diffAgX:,AgY:,diffAgY:,AgZ:,diffAgZ:,activity,,,
-6255,9,1132,54,15085,4,-1754,3,-179,44,60,1,stop,,,
-6248,7,1156,24,15069,16,-1749,5,-183,4,83,23,stop,,,
-6251,3,1187,31,15100,31,-1744,5,-220,37,76,7,stop,,,
-6235,16,1177,10,15068,32,-1745,1,-283,63,78,2,stop,,,
-6233,2,1151,26,15085,17,-1749,4,-292,9,112,34,stop,,,
-6260,27,1124,27,15070,15,-1747,2,-294,2,119,7,stop,,,
-6253,7,1133,9,15093,23,-1744,3,-293,1,91,28,stop,,,
-6276,23,1086,47,15078,15,-1748,4,-284,9,90,1,stop,,,
-6254,22,1089,3,15093,15,-1748,0,-274,10,75,15,stop,,,
-6268,14,1079,10,15111,18,-1748,0,-234,40,83,8,stop,,,
-6274,6,1114,35,15082,29,-1748,0,-198,36,77,6,stop,,,
-6258,16,1167,53,15088,6,-1744,4,-205,7,79,2,stop,,,
-6255,3,1156,11,15090,2,-1749,5,-218,13,55,24,stop,,,
-6235,20,1180,24,15068,22,-1747,2,-255,37,62,7,stop,,,
-6235,0,1138,42,15110,42,-1749,2,-281,26,94,32,stop,,,
-6241,6,1157,19,15078,32,-1746,3,-275,6,114,20,stop,,,
-6258,17,1125,32,15085,7,-1750,4,-318,43,104,10,stop,,,
-6261,3,1075,50,15068,17,-1750,0,-274,44,82,22,stop,,,
-6259,2,1086,11,15069,1,-1755,5,-272,2,65,17,stop,,,
-6240,19,1093,7,15111,42,-1746,9,-220,52,72,7,stop,,,
-6239,1,1126,33,15082,29,-1749,3,-223,3,78,6,stop,,,
-6250,11,1124,2,15083,1,-1746,3,-145,78,82,4,stop,,,
-6218,32,1192,68,15042,41,-1746,0,-197,52,80,2,stop,,,
-6249,31,1203,11,15098,56,-1748,2,-265,68,102,22,stop,,,
-6244,5,1181,22,15082,16,-1750,2,-283,18,115,13,stop,,,
-6266,22,1150,31,15076,6,-1746,4,-328,45,109,6,stop,,,
-6278,12,1093,57,15067,9,-1746,0,-289,39,94,15,stop,,,
-6270,8,1102,9,15057,10,-1744,2,-267,22,98,4,stop,,,
-6283,13,1098,4,15065,8,-1750,6,-248,19,109,11,stop,,,
-6290,7,1106,8,15055,10,-1746,4,-272,24,101,8,stop,,,
