, DistFront, 117.04, DistDow, 119.18, DistUp, 3.76
, DistFrontMean, 116.67, DistDowMean, 119.56, DistUpMean, 3619.30
, DistFront, 117.82, DistDow, 118.52, DistUp, 3.67
, DistFront, 117.69, DistDow, 121.89, DistUp, 3.76
, DistFront, 118.32, DistDow, 120.68, DistUp, 3.67
, DistFront, 118.59, DistDow, 118.47, DistUp, 3.78
, DistFront, 117.31, DistDow, 119.78, DistUp, 3.76
, DistFront, 117.87, DistDow, 118.91, DistUp, 3.67
, DistFront, 106.21, DistDow, 118.61, DistUp, 3661.28
, DistFront, 107.06, DistDow, 119.56, DistUp, 182.11
, DistFront, 117.53, DistDow, 119.12, DistUp, 3646.67
, DistFront, 107.31, DistDow, 118.81, DistUp, 220.78
, DistFront, 117.21, DistDow, 118.84, DistUp, 220.83
, DistFront, 117.74, DistDow, 119.32, DistUp, 171.89
, DistFront, 118.18, DistDow, 119.35, DistUp, 219.98
, DistFront, 117.91, DistDow, 119.40, DistUp, 220.32
, DistFront, 118.40, DistDow, 119.12, DistUp, 3.76
, DistFront, 119.23, DistDow, 119.17, DistUp, 222.18
, DistFront, 118.38, DistDow, 120.02, DistUp, 221.39
, DistFront, 117.93, DistDow, 119.10, DistUp, 3647.70
, DistFront, 107.41, DistDow, 119.32, DistUp, 221.14
, DistFrontMean, 118.11, DistDowMean, 119.71, DistUpMean, 223.25
, DistFront, 117.19, DistDow, 119.66, DistUp, 221.99
, DistFront, 117.98, DistDow, 119.27, DistUp, 221.11
, DistFront, 117.81, DistDow, 118.40, DistUp, 3.78
, DistFront, 117.40, DistDow, 118.59, DistUp, 3.76
, DistFront, 116.85, DistDow, 118.47, DistUp, 3.67
, DistFront, 118.13, DistDow, 118.47, DistUp, 3.76
, DistFront, 117.11, DistDow, 119.90, DistUp, 3.67
, DistFront, 117.99, DistDow, 120.48, DistUp, 3.76
, DistFront, 117.16, DistDow, 119.63, DistUp, 3.76
, DistFront, 117.87, DistDow, 119.03, DistUp, 3.76
, DistFront, 117.81, DistDow, 119.27, DistUp, 3.67
, DistFront, 117.64, DistDow, 119.68, DistUp, 3.76
, DistFront, 116.92, DistDow, 121.60, DistUp, 3.76
, DistFront, 117.81, DistDow, 120.27, DistUp, 3.76
, DistFront, 118.40, DistDow, 120.75, DistUp, 3.64
, DistFront, 118.95, DistDow, 120.88, DistUp, 3.67
, DistFront, 120.53, DistDow, 121.73, DistUp, 3.76
, DistFront, 119.39, DistDow, 120.95, DistUp, 3.67
, DistFront, 119.83, DistDow, 120.43, DistUp, 3.67
, DistFront, 119.63, DistDow, 121.21, DistUp, 3.76
, DistFrontMean, 120.46, DistDowMean, 120.77, DistUpMean, 3631.82
, DistFront, 119.18, DistDow, 121.26, DistUp, 3.76
, DistFront, 119.63, DistDow, 121.67, DistUp, 3.76
, DistFront, 119.39, DistDow, 121.28, DistUp, 3.64
, DistFront, 120.37, DistDow, 120.26, DistUp, 3.76
, DistFront, 119.42, DistDow, 121.77, DistUp, 3.78
, DistFront, 119.05, DistDow, 120.61, DistUp, 3648.61
, DistFront, 108.81, DistDow, 122.48, DistUp, 222.57
, DistFront, 120.77, DistDow, 120.63, DistUp, 3.76
, DistFront, 119.23, DistDow, 120.78, DistUp, 3.76
, DistFront, 119.32, DistDow, 120.92, DistUp, 3.67
, DistFront, 119.10, DistDow, 120.68, DistUp, 3.76
, DistFront, 119.42, DistDow, 120.63, DistUp, 3.76
, DistFront, 120.43, DistDow, 120.24, DistUp, 3.64
, DistFront, 118.62, DistDow, 121.14, DistUp, 3.76
, DistFront, 120.34, DistDow, 120.24, DistUp, 3.78
, DistFront, 119.49, DistDow, 120.32, DistUp, 3.78
, DistFront, 119.03, DistDow, 120.70, DistUp, 3.76
, DistFront, 119.10, DistDow, 122.28, DistUp, 3.67
, DistFront, 120.19, DistDow, 121.38, DistUp, 3.64
, DistFront, 120.24, DistDow, 120.56, DistUp, 3.78
, DistFrontMean, 120.24, DistDowMean, 121.46, DistUpMean, 3676.17
, DistFront, 119.46, DistDow, 121.48, DistUp, 3.78
, DistFront, 118.64, DistDow, 121.53, DistUp, 3.76
, DistFront, 119.40, DistDow, 121.09, DistUp, 3.76
