 DistFront, DistDow, DistUp,classe,,,,
116.38,121.48,60.07,obstaculo_suspenso,1,,,
118.78,122.18,62.35,obstaculo_suspenso,1,,,
115.46,117.57,54.69,obstaculo_suspenso,1,,,
116.8,121.55,63.64,obstaculo_suspenso,1,,,
116.31,162.77,82.41,obstaculo_suspenso,1,,,
116.02,122.38,58.42,obstaculo_suspenso,1,,,
222.96,227.45,232.26,not obstacle,2,,,
223.13,233.35,230.46,not obstacle,2,,,
223.91,229.9,228.83, not obstacle,2,,,
223.13,231.33,230.54, not obstacle,2,,,
224.05,226.67,231.77, not obstacle,2,,,
204.03,216.5,242.35, not obstacle,2,,,
216.73,231.38,224.17, not obstacle,2,,,
223.91,229.9,228.83, not obstacle,2,,,
223.13,231.33,230.54, not obstacle,2,,,
224.05,226.67,231.77, not obstacle,2,,,
225.7,234.66,231.75, not obstacle,2,,,
223.18,231.34,228.54, not obstacle,2,,,
224.4,230.88,229.3, not obstacle,2,,,
224.4,233.83,230.95, not obstacle,2,,,
225.27,224.1,230.66, not obstacle,2,,,
225.05,223.84,229.59, not obstacle,2,,,
223.54,226.28,231.62, not obstacle,2,,,
221.84,226.11,239.39, not obstacle,2,,,
248.32,250.41,259.23, not obstacle,2,,,
246.28,249.9,259.61, not obstacle,2,,,
